Error code,Message,Description
0x80243FFF,WU_E_AUCLIENT_UNEXPECTED,There was a user interface error not covered by another WU_E_AUCLIENT_* error code.
0x8024A000,WU_E_AU_NOSERVICE,Automatic Updates was unable to service incoming requests.
0x8024A002,WU_E_AU_NONLEGACYSERVER,The old version of the Automatic Updates client has stopped because the WSUS server has been upgraded.
0x8024A003,WU_E_AU_LEGACYCLIENTDISABLED,The old version of the Automatic Updates client was disabled.
0x8024A004,WU_E_AU_PAUSED,Automatic Updates was unable to process incoming requests because it was paused.
0x8024A005,WU_E_AU_NO_REGISTERED_SERVICE,No unmanaged service is registered with AU.
0x8024AFFF,WU_E_AU_UNEXPECTED,An Automatic Updates error not covered by another WU_E_AU* code.
0x80243001,WU_E_INSTALLATION_RESULTS_UNKNOWN_VERSION,The results of download and installation couldn't be read from the registry due to an unrecognized data format version.
0x80243002,WU_E_INSTALLATION_RESULTS_INVALID_DATA,The results of download and installation couldn't be read from the registry due to an invalid data format.
0x80243003,WU_E_INSTALLATION_RESULTS_NOT_FOUND,The results of download and installation aren't available; the operation may have failed to start.
0x80243004,WU_E_TRAYICON_FAILURE,A failure occurred when trying to create an icon in the taskbar notification area.
0x80243FFD,WU_E_NON_UI_MODE,Unable to show UI when in non-UI mode; Windows Update client UI modules may not be installed.
0x80243FFE,WU_E_WUCLTUI_UNSUPPORTED_VERSION,Unsupported version of Windows Update client UI exported functions.
0x80243FFF,WU_E_AUCLIENT_UNEXPECTED,There was a user interface error not covered by another WU_E_AUCLIENT_* error code.
0x8024043D,WU_E_SERVICEPROP_NOTAVAIL,The requested service property isn't available.
0x80249001,WU_E_INVENTORY_PARSEFAILED,Parsing of the rule file failed.
0x80249002,WU_E_INVENTORY_GET_INVENTORY_TYPE_FAILED,Failed to get the requested inventory type from the server.
0x80249003,WU_E_INVENTORY_RESULT_UPLOAD_FAILED,Failed to upload inventory result to the server.
0x80249004,WU_E_INVENTORY_UNEXPECTED,There was an inventory error not covered by another error code.
0x80249005,WU_E_INVENTORY_WMI_ERROR,A WMI error occurred when enumerating the instances for a particular class.
0x8024E001,WU_E_EE_UNKNOWN_EXPRESSION,An expression evaluator operation couldn't be completed because an expression was unrecognized.
0x8024E002,WU_E_EE_INVALID_EXPRESSION,An expression evaluator operation couldn't be completed because an expression was invalid.
0x8024E003,WU_E_EE_MISSING_METADATA,An expression evaluator operation couldn't be completed because an expression contains an incorrect number of metadata nodes.
0x8024E004,WU_E_EE_INVALID_VERSION,An expression evaluator operation couldn't be completed because the version of the serialized expression data is invalid.
0x8024E005,WU_E_EE_NOT_INITIALIZED,The expression evaluator couldn't be initialized.
0x8024E006,WU_E_EE_INVALID_ATTRIBUTEDATA,An expression evaluator operation couldn't be completed because there was an invalid attribute.
0x8024E007,WU_E_EE_CLUSTER_ERROR,An expression evaluator operation couldn't be completed because the cluster state of the computer couldn't be determined.
0x8024EFFF,WU_E_EE_UNEXPECTED,There was an expression evaluator error not covered by another WU_E_EE_* error code.
0x80247001,WU_E_OL_INVALID_SCANFILE,An operation couldn't be completed because the scan package was invalid.
0x80247002,WU_E_OL_NEWCLIENT_REQUIRED,An operation couldn't be completed because the scan package requires a greater version of the Windows Update Agent.
0x80247FFF,WU_E_OL_UNEXPECTED,Search using the scan package failed.
0x8024F001,WU_E_REPORTER_EVENTCACHECORRUPT,The event cache file was defective.
0x8024F002,WU_E_REPORTER_EVENTNAMESPACEPARSEFAILED,The XML in the event namespace descriptor couldn't be parsed.
0x8024F003,WU_E_INVALID_EVENT,The XML in the event namespace descriptor couldn't be parsed.
0x8024F004,WU_E_SERVER_BUSY,The server rejected an event because the server was too busy.
0x8024FFFF,WU_E_REPORTER_UNEXPECTED,There was a reporter error not covered by another error code.
0x80245001,WU_E_REDIRECTOR_LOAD_XML,The redirector XML document couldn't be loaded into the DOM class.
0x80245002,WU_E_REDIRECTOR_S_FALSE,The redirector XML document is missing some required information.
0x80245003,WU_E_REDIRECTOR_ID_SMALLER,The redirectorId in the downloaded redirector cab is less than in the cached cab.
